title,company,location,link
"[] 홀 서빙 , 보조 알바",눈꽃을나누다,울산 남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=16bc21adaeae46f8
인앱 프로모션 마케터,리디,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=e938b6a1eb23479a
슬라운드 체험관 영업 매니저(Showroom Sales Mananger),슬라운드,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=3ce4a2a6177c2466
눈꽃참한우포크 관리직(사무직) 사원,눈꽃참한우포크,강원도 태백,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=08263976d2f1b064
할머님 재가요양보호사,효드림방문요양센터,경기도 광명,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=02eb48b6021739e8
동구 파티마병원 근처 재가요양보호사,성심노인복지센터,대구 동구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=43c894de0da6cdc8
맥도날드 대전한남대 DT점 크루 & 라이더,맥도날드,대전 중리동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=c90e883d4a30283d
명동눈스퀘어 보안대원신청,지유씨엔에스,서울 명동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=46a750dfe7760c8b
청원경찰,서울특별시,대한민국,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=3e9fd76680596c32
제조 관련 생산직,눈비산농산영농조합법인,충청북도 괴산,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=95246f361042343c
멕도날드 카이스트점 아르바이트생,맥도날드,대전 가정동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=7b806f6f106d9a4f
맥도날드 대전 한남대DT점 크루 & 라이더,맥도날드,대전 중리동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l&radius=25&vjk=82d3d83fe1bc1025
